sense0.psc.edu
Welcome... I see you're running freebsd on sense0.psc.edu

WARNING: using cached data (if available)
	run with '-u' option to force live data collection

------- Summary  --------
Drive Count: 263 | Backplanes: 22 | Switches : 2

---------- sdiska0-front ---------------
type=disk,subtype=SATA,serial=MJ1323YNG18NMC,model=Hitachi HDS5C303,capacity=,sd0=da58,sg0=pass78,scsi_id0=7:43:0,wwn0=0x500304800109dc5e,hop0=scbus7,backplane0=sdiska1-front,slot0=18,phy0=30
type=disk,subtype=SATA,serial=MJ1323YNG1618C,model=Hitachi HDS5C303,capacity=,sd0=da49,sg0=pass69,scsi_id0=7:44:0,wwn0=0x500304800109dc5f,hop0=scbus7,backplane0=sdiska1-front,slot0=19,phy0=31
type=disk,subtype=SATA,serial=MJ1323YNG18ZWC,model=Hitachi HDS5C303,capacity=,sd0=da57,sg0=pass77,scsi_id0=7:45:0,wwn0=0x500304800109dc60,hop0=scbus7,backplane0=sdiska1-front,slot0=20,phy0=32
type=disk,subtype=SATA,serial=MJ1323YNG1BP0C,model=Hitachi HDS5C303,capacity=,sd0=da73,sg0=pass93,scsi_id0=7:46:0,wwn0=0x500304800109dc61,hop0=scbus7,backplane0=sdiska1-front,slot0=21,phy0=33
type=disk,subtype=SATA,serial=MJ1323YNG1MGRC,model=Hitachi HDS5C303,capacity=,sd0=da52,sg0=pass72,scsi_id0=7:47:0,wwn0=0x500304800109dc62,hop0=scbus7,backplane0=sdiska1-front,slot0=22,phy0=34
type=disk,subtype=SATA,serial=MJ1323YNG1V1HC,model=Hitachi HDS5C303,capacity=,sd0=da77,sg0=pass97,scsi_id0=7:48:0,wwn0=0x500304800109dc63,hop0=scbus7,backplane0=sdiska1-front,slot0=23,phy0=35

---------- sdiska2-front ---------------
type=expander,subtype=24-bay backplane,wwn=0x500304800109dd7f,handle=ses12,model=SAS2X36,wwnbase=0x500304800109dd40,diskbase=0x500304800109dd4cphybase=12
type=disk,subtype=SATA,serial=MJ1323YNG1GHWC,model=Hitachi HDS5C303,capacity=,sd0=da4,sg0=pass24,scsi_id0=7:50:0,wwn0=0x500304800109dd4c,hop0=scbus7,backplane0=sdiska2-front,slot0=0,phy0=12
type=disk,subtype=SATA,serial=MJ1323YNG1192C,model=Hitachi HDS5C303,capacity=,sd0=da11,sg0=pass31,scsi_id0=7:51:0,wwn0=0x500304800109dd4d,hop0=scbus7,backplane0=sdiska2-front,slot0=1,phy0=13
type=disk,subtype=SATA,serial=MJ1323YNG0ZG3C,model=Hitachi HDS5C303,capacity=,sd0=da12,sg0=pass32,scsi_id0=7:52:0,wwn0=0x500304800109dd4e,hop0=scbus7,backplane0=sdiska2-front,slot0=2,phy0=14
type=disk,subtype=SATA,serial=MJ1323YNG0ZZKC,model=Hitachi HDS5C303,capacity=,sd0=da13,sg0=pass33,scsi_id0=7:53:0,wwn0=0x500304800109dd4f,hop0=scbus7,backplane0=sdiska2-front,slot0=3,phy0=15
type=disk,subtype=SATA,serial=MJ1323YNG1328C,model=Hitachi HDS5C303,capacity=,sd0=da0,sg0=pass20,scsi_id0=7:54:0,wwn0=0x500304800109dd50,hop0=scbus7,backplane0=sdiska2-front,slot0=4,phy0=16
type=disk,subtype=SATA,serial=MJ1323YNG1JMGC,model=Hitachi HDS5C303,capacity=,sd0=da9,sg0=pass29,scsi_id0=7:55:0,wwn0=0x500304800109dd51,hop0=scbus7,backplane0=sdiska2-front,slot0=5,phy0=17
type=disk,subtype=SATA,serial=MJ1323YNG15ZWC,model=Hitachi HDS5C303,capacity=,sd0=da10,sg0=pass30,scsi_id0=7:56:0,wwn0=0x500304800109dd52,hop0=scbus7,backplane0=sdiska2-front,slot0=6,phy0=18
type=disk,subtype=SATA,serial=MJ1323YNG10LMC,model=Hitachi HDS5C303,capacity=,sd0=da6,sg0=pass26,scsi_id0=7:57:0,wwn0=0x500304800109dd53,hop0=scbus7,backplane0=sdiska2-front,slot0=7,phy0=19
type=disk,subtype=SATA,serial=MJ1323YNG15E4C,model=Hitachi HDS5C303,capacity=,sd0=da20,sg0=pass40,scsi_id0=7:58:0,wwn0=0x500304800109dd54,hop0=scbus7,backplane0=sdiska2-front,slot0=8,phy0=20
